DATE,TIME,TEMPERATURE,HUMIDITY,CO2,CO,RAIN,DUST,EVALUATE
12/2/2025,06:14:36,29.10,44.50,14.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,05:59:20,29.20,47.10,12.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,05:44:09,29.30,44.70,11.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,05:28:57,29.40,46.60,12.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,05:13:47,29.40,46.80,12.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,04:58:35,29.40,47.10,11.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,04:43:24,29.40,49.50,12.00,32.00,HEAVY_RAIN,0.00,Good
12/2/2025,04:28:13,29.30,45.80,12.00,29.00,HEAVY_RAIN,0.00,Good
12/2/2025,04:13:00,29.30,45.10,11.00,31.00,HEAVY_RAIN,0.00,Good
12/2/2025,03:57:49,29.40,46.30,12.00,32.00,HEAVY_RAIN,0.00,Good
12/2/2025,03:42:37,29.40,45.80,14.00,32.00,HEAVY_RAIN,0.00,Good
12/2/2025,03:27:25,29.30,45.90,9.00,30.00,HEAVY_RAIN,0.00,Good
12/2/2025,03:12:11,29.20,46.70,9.00,30.00,HEAVY_RAIN,0.00,Good
12/2/2025,02:57:00,29.10,48.90,9.00,29.00,HEAVY_RAIN,0.00,Good
12/2/2025,02:54:37,29.10,49.20,8.00,29.00,HEAVY_RAIN,0.00,Good
12/2/2025,02:54:25,29.10,49.20,9.00,29.00,HEAVY_RAIN,137.30,Hazardous
12/2/2025,02:41:47,29.20,50.70,4.00,27.00,HEAVY_RAIN,0.00,Good
12/2/2025,02:26:36,29.10,50.80,4.00,27.00,HEAVY_RAIN,0.00,Good
12/2/2025,02:11:26,29.20,50.20,2.00,27.00,HEAVY_RAIN,0.00,Good
12/2/2025,01:56:15,29.20,50.10,2.00,27.00,HEAVY_RAIN,0.00,Good
12/2/2025,01:41:02,29.20,53.20,2.00,27.00,HEAVY_RAIN,0.00,Good
12/2/2025,01:25:52,29.30,57.00,4.00,28.00,HEAVY_RAIN,0.00,Good
12/2/2025,01:10:38,29.40,57.70,4.00,28.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:55:27,29.50,58.90,5.00,28.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:51:03,29.30,56.80,5.00,28.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:50:53,29.30,56.80,6.00,29.00,HEAVY_RAIN,198.42,Hazardous
12/2/2025,00:40:14,29.40,57.20,7.00,29.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:25:02,29.40,54.60,8.00,29.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:09:50,29.40,53.10,8.00,30.00,HEAVY_RAIN,0.00,Good
12/2/2025,00:02:07,29.50,54.60,8.00,30.00,HEAVY_RAIN,39.99,Good
11/2/2025,23:54:39,29.40,54.80,7.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,23:39:27,29.80,56.60,8.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,23:28:11,29.80,58.30,10.00,31.00,HEAVY_RAIN,0.00,Good
11/2/2025,23:27:59,29.90,58.40,9.00,30.00,HEAVY_RAIN,112.76,Hazardous
11/2/2025,23:24:16,30.00,61.10,10.00,31.00,HEAVY_RAIN,0.00,Good
11/2/2025,23:09:04,30.10,63.00,7.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,22:53:52,30.50,71.90,7.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,22:38:40,30.40,71.40,4.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,21:23:26,30.10,70.90,2.00,30.00,HEAVY_RAIN,0.00,Good
11/2/2025,21:08:12,30.10,69.00,5.00,31.00,HEAVY_RAIN,0.00,Good
